setup_id,rank,sharpe_lb,sharpe_median,sortino,calmar,max_drawdown,support,avg_return,volatility,description,signal_ids
SETUP_0002,1,36.3694,47.2977,0.0000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000,0.0000,43.0000,0.0251,0.0108,HG1 Comdty_px_zscore_90d is_very_high_z AND AMZN US Equity_vs_SPY US Equity_beta_px_60d is_low,"SIG_00843, SIG_00945"
SETUP_0006,1,29.6362,45.6303,473.9231,44.7482,-0.0025,54.0000,0.0226,0.0115,HG1 Comdty_px_zscore_90d is_very_high_z AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00843, SIG_00984"
SETUP_0005,1,19.6816,24.2247,106.9364,4.3294,-0.0082,120.0000,0.0168,0.0119,XLK US Equity_px_zscore_90d is_high AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00028, SIG_00994"
SETUP_0008,1,19.2068,22.6783,176.3720,20.0762,-0.0044,62.0000,0.0210,0.0166,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND USGG2YR Index_realized_vol_21d z_breakout_pos,"SIG_00994, SIG_00743"
SETUP_0011,1,13.5522,19.3110,43.9647,0.3169,-0.0799,139.0000,0.0139,0.0131,AMD US Equity_px_zscore_90d is_high AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00449, SIG_00994"
SETUP_0015,1,12.9387,18.0402,43.8793,0.5209,-0.0559,147.0000,0.0169,0.0156,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00994, SIG_00984"
SETUP_0013,1,12.6485,17.5489,52.5443,0.4539,-0.0660,143.0000,0.0169,0.0164,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND GOOGL US Equity_realized_vol_21d is_low,"SIG_00994, SIG_00268"
SETUP_0010,1,11.1857,15.6513,25.2013,0.2781,-0.0961,169.0000,0.0178,0.0189,NDX Index_vs_SPY US Equity_beta_px_60d z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_01090, SIG_00994"
SETUP_0012,1,10.8389,16.3013,33.8855,0.2391,-0.1838,151.0000,0.0261,0.0254,QQQ US Equity_vs_SPY US Equity_beta_px_60d is_low AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00922, SIG_00889"
SETUP_0007,1,7.8294,12.3390,23.6745,0.1055,-0.2207,219.0000,0.0202,0.0270,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND QQQ US Equity_vs_SPY US Equity_beta_px_60d is_low,"SIG_00984, SIG_00922"
SETUP_0009,1,1.0698,6.8406,6.8873,0.0219,-0.7002,233.0000,0.0142,0.0349,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND AMZN US Equity_vs_SPY US Equity_beta_px_60d is_low,"SIG_00984, SIG_00945"
SETUP_0003,1,0.5511,4.6452,7.5598,0.0219,-0.5566,274.0000,0.0133,0.0420,SPX Index_realized_vol_21d is_high AND AAPL US Equity_realized_vol_21d is_high,"SIG_00634, SIG_00315"
SETUP_0069,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0073,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0070,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0071,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0072,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0000,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0074,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0075,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0067,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0076,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0068,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0061,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0066,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0065,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0064,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0063,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0062,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0078,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0060,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0059,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0058,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0077,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0084,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0079,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0090,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0098,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0097,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0096,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0095,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0094,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0093,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0092,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0091,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0089,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0080,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0088,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0087,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0086,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0085,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0056,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0083,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0082,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0081,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0057,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0050,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0055,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0023,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0031,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0030,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0029,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0028,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0027,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0026,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0025,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0024,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0022,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0033,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0021,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0020,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0019,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0018,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0017,1,0.0000,0.0000,536.6455,31.0414,-0.0049,34.0000,0.0192,0.0140,EUR Curncy_vs_SPY US Equity_corr_px_20d z_breakout_pos AND XLC US Equity_px_zscore_90d is_high,"SIG_01141, SIG_00075"
SETUP_0016,1,0.0000,0.0000,536.6455,31.0414,-0.0049,34.0000,0.0192,0.0140,XLC US Equity_px_zscore_90d is_high AND EUR Curncy_vs_SPY US Equity_corr_px_20d z_breakout_pos,"SIG_00075, SIG_01141"
SETUP_0014,1,0.0000,0.0000,788.8033,194.7411,-0.0027,27.0000,0.0457,0.0271,SPX Index_realized_vol_21d is_high AND PLTR US Equity_frac_diff_px is_high,"SIG_00634, SIG_00414"
SETUP_0004,1,0.0000,0.0000,788.8033,194.7411,-0.0027,27.0000,0.0457,0.0271,PLTR US Equity_frac_diff_px is_high AND SPX Index_realized_vol_21d is_high,"SIG_00414, SIG_00634"
SETUP_0032,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0034,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0054,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0045,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0053,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0052,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0051,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0001,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0049,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0048,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0047,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0046,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0044,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0035,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0043,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0042,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0041,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0040,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0039,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
SETUP_0038,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0037,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0036,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,MSFT US Equity_frac_diff_px z_breakout_neg AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00298, SIG_00994"
SETUP_0099,1,0.0000,0.0000,17879.3409,399.4929,-0.0020,13.0000,0.0308,0.0305,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_frac_diff_px z_breakout_neg,"SIG_00994, SIG_00298"
